id,kepid,koi_name,kepler_name,disposition,pdisposition,score,period,radius_planet,temp_planet_eq,insolation,duration,depth,model_snr,temp_star_eq,radius_star,mag_star,ra,dec,star_type
98,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,0.95,6.164876,0.79,1021.0,256.35,3.262,55.8,14.4,5854.0,1.012,12.882,300.86398,44.337551,Sun-like
99,3832474,K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,0.745,60.32494216,12.19,411.0,6.77,6.6188,20280.0,347.2,5485.0,0.867,15.403,285.28363,38.947281,Sun-like
100,3832474,K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,0.371,29.1598615,1.91,524.0,17.85,4.803,488.0,11.6,5485.0,0.867,15.403,285.28363,38.947281,Sun-like
101,3836375,K00807.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,1.540397253,25.69,1470.0,1105.68,2.1541,816.1,38.8,5663.0,0.915,15.974,286.92639,38.921631,Sun-like
102,3838486,K00808.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,2.99025443,1.7,918.0,168.45,5.414,589.2,48.5,4667.0,0.731,15.842,287.74881,38.92955,Orange
103,3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1.0,1.594745374,11.3,1539.0,1329.42,1.9604,15044.0,1009.3,5934.0,0.893,15.53,285.21381,39.027481,Sun-like
104,3940418,K00810.01,Unnamed,CANDIDATE,CANDIDATE,1.0,4.783002698,2.5,886.0,145.48,2.335,1008.7,70.6,5170.0,0.807,15.119,287.09399,39.060719,Orange
105,4049131,K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,1.0,20.50588921,3.41,518.0,17.06,4.0595,2105.5,78.5,4905.0,0.761,15.398,289.31543,39.153278,Orange
106,4139816,K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,1.0,3.340218842,2.03,656.0,43.73,1.9104,1632.6,71.6,3950.0,0.493,15.954,286.07913,39.27832,Orange
107,5287983,K00828.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,2.507089906,30.26,1326.0,730.47,2.0067,1339.2,64.9,5926.0,0.939,15.555,295.37805,40.493401,Sun-like
